author,text,hint_born,hint_gender,hint_text
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"March 14, 1879 in Ulm, Germany",The author is a man,"... His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed..."
J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","July 31, 1965 in Yate, South Gloucestershire, England, The United Kingdom",The author is a woman,"... Harry Potter book was published was simply Joanne -AUTHOR-. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers..."
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"March 14, 1879 in Ulm, Germany",The author is a man,"... His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed..."
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","December 16, 1775 in Steventon Rectory, Hampshire, The United Kingdom",The author is a woman,"... as one of the most widely read writers in English literature, her realism and biting social commentary cementing her historical importance among scholars and critics.-AUTHOR- lived her entire life as..."
Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","June 01, 1926 in The United States",The author is a woman,"... who became a major sex symbol, starring in a number of commercially successful motion pictures during the 1950s and early 1960s.After spending much of her childhood in foster homes, -AUTHOR-..."
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,"March 14, 1879 in Ulm, Germany",The author is a man,"... His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed..."
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,"November 22, 1869 in Paris, France",The author is a man,"... ranged from its beginnings in the symbolist movement, to the advent of anticolonialism between the two World Wars.Known for his fiction as well as his autobiographical works, -AUTHOR- exposes to..."
Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”","February 11, 1847 in Milan, Ohio, The United States",The author is a man,"... world, including the phonograph, the motion picture camera, and a long-lasting, practical electric light bulb. Dubbed ""The Wizard of Menlo Park"" (now Edison, New Jersey) by a newspaper reporter, he..."
Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,"October 11, 1884 in The United States",The author is a woman,"... 1945 to promote the New Deal policies of her husband, President Franklin D. -AUTHOR-, as well as taking a prominent role as an advocate for civil rights. After her husband's..."
Steve Martin,"“A day without sunshine is like, you know, night.”","August 14, 1945 in Waco, Texas, The United States",The author is a man,"... California in a Baptist family, where his early influences were working at Disneyland and Knott's Berry Farm and working magic and comedy acts at these and other smaller venues in..."
author,text,hint_born,hint_gender,hint_text
